dataset,depth
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,2
NLV_Corpus,7
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,9
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,3
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,7
NLV_Corpus,3
NLV_Corpus,5
NLV_Corpus,7
NLV_Corpus,4
NLV_Corpus,7
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,5
NLV_Corpus,7
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,7
NLV_Corpus,8
NLV_Corpus,7
NLV_Corpus,4
NLV_Corpus,7
NLV_Corpus,9
NLV_Corpus,7
NLV_Corpus,8
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,6
NLV_Corpus,7
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,7
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,7
NLV_Corpus,5
NLV_Corpus,5
NLV_Corpus,8
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,3
NLV_Corpus,5
NLV_Corpus,4
NLV_Corpus,6
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,8
NLV_Corpus,11
NLV_Corpus,6
NLV_Corpus,6
NLV_Corpus,7
NLV_Corpus,7
NLV_Corpus,7
NLV_Corpus,13
NLV_Corpus,7
NLV_Corpus,8
NLV_Corpus,7
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,6
NLV_Corpus,4
NLV_Corpus,6
NLV_Corpus,6
NLV_Corpus,6
NLV_Corpus,5
NLV_Corpus,5
NLV_Corpus,8
NLV_Corpus,5
NLV_Corpus,5
NLV_Corpus,7
NLV_Corpus,3
NLV_Corpus,7
NLV_Corpus,7
NLV_Corpus,6
NLV_Corpus,8
