dataset,num of modifiers/clauses
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,4
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,4
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,4
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,4
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,8
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,5
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,2
NLV_Corpus,4
NLV_Corpus,3
NLV_Corpus,3
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,5
NLV_Corpus,3
NLV_Corpus,4
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,4
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,3
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,4
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,3
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,3
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,4
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,5
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,2
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
NLV_Corpus,1
NLV_Corpus,1
NLV_Corpus,0
